"","tree","exo","LRR_mean","LRR_sem","emmean","SE","df","lower.CL","upper.CL",".group"
"1","Autumn Olive","Non-native",0.703704403268071,0.294130245642968,0.703704403268071,0.249121783561769,106,-0.388224879768711,1.79563368630485," a"
"2","Barberry","Non-native",0.343370738975988,0.26490923754535,0.343370738975989,0.249121783561769,106,-0.748558544060791,1.43530002201277," a"
"3","Beech","Native",1.0631816050093,0.197689310042288,1.0631816050093,0.249121783561769,106,-0.0287476780274798,2.15511088804608," a"
"4","Burning Bush","Non-native",0.61979072033012,0.171990359861748,0.61979072033012,0.24912178356177,106,-0.472138562706663,1.7117200033669," a"
"5","Honeysuckle","Non-native",0.700843843552028,0.214887993929043,0.700843843552028,0.24912178356177,106,-0.391085439484754,1.79277312658881," a"
"6","Musclewood","Native",0.113239051607906,0.289262930306326,0.113239051607905,0.24912178356177,106,-0.978690231428878,1.20516833464469," a"
"7","Shadbush","Native",0.869685623432193,0.317071252446007,0.869685623432193,0.287661057600775,106,-0.39116570756245,2.13053695442684," a"
"8","Striped Maple","Native",0.813995598691476,0.268049350893509,0.813995598691475,0.249121783561769,106,-0.277933684345306,1.90592488172826," a"
"9","Sweet Birch","Native",0.836425795159725,0.249441562091052,0.836425795159725,0.249121783561769,106,-0.255503487877057,1.92835507819651," a"
"10","Witch-hazel","Native",0.788662876447024,0.254415176608632,0.788662876447024,0.260199216779613,106,-0.351820063915548,1.9291458168096," a"
